id,duration,name,start_time,end_time,start_latitude,start_longitude,end_latitude,end_longitude
333,0.614012,None,2009-06-18 00:08:33,2010-01-28 02:53:15,23.379,113.7633,23.379,113.7633
334,0.452129,None,2010-02-06 15:02:14,2010-07-21 15:41:14,23.379,113.7633,23.379,113.7633
335,0.412934,None,2010-07-21 15:41:06,2010-12-19 08:59:12,23.379,113.7633,27.0875,114.9042
336,1.224371,MG742376|CH/JXYC03/2012|Jiangxi|NA|2012-03-10,2010-12-19 09:57:09,2012-03-10 12:00:00,27.0875,114.9042,27.0875,114.9042
337,2.232757,None,2010-12-19 08:59:12,2013-03-14 07:56:17,27.0875,114.9042,27.0875,114.9042
338,4.222338,None,2013-03-13 18:40:36,2017-06-02 22:21:27,27.0875,114.9042,30.6007,117.9249
339,0.974555,None,2017-06-03 11:37:11,2018-05-25 04:43:17,30.6007,117.9249,34.2904,113.3824
340,0.784279,SS-CH-ZMD3-2019|CH-ZMD3-2019|Henan|Zhumadian|2019-03-07,2018-05-25 05:42:57,2019-03-07 11:59:59,34.2904,113.3824,34.2904,113.3824
341,0.96784,SS-CH-CHD4-2019|CH-CHD4-2019|Sichuan|Chengdu|2019-05-13,2018-05-25 04:43:17,2019-05-13 10:59:59,34.2904,113.3824,30.2638,102.8055
342,0.454982,SS-CH-MAS10-2017|CH-MAS10-2017|Anhui|Maanshan|2017-11,2017-06-02 22:21:27,2017-11-16 00:00:00,30.6007,117.9249,30.6007,117.9249
343,0.145555,KF738260|JX130506|Jiangxi|NA|2013-05-06,2013-03-14 07:56:17,2013-05-06 11:00:00,27.0875,114.9042,27.0875,114.9042
344,1.467591,None,2010-07-21 15:41:14,2012-01-08 08:15:57,23.379,113.7633,23.379,113.7633
345,0.886388,None,2012-01-08 09:16:32,2012-11-27 19:18:28,23.379,113.7633,23.379,113.7633
346,0.304162,KC787540|CH-HGC-01-2013|Guangdong|NA|2013,2013-03-11 22:32:27,2013-06-30 23:00:00,23.379,113.7633,23.379,113.7633
347,0.116718,KT948011|CH-CWC-2013|Guangdong|NA|2013-01-09,2012-11-27 19:18:28,2013-01-09 11:59:59,23.379,113.7633,23.379,113.7633
348,2.36613,None,2012-01-08 08:15:57,2014-05-21 23:04:59,23.379,113.7633,23.379,113.7633
349,0.138346,MH726377|GDS29|Guangdong|NA|2014-07-11,2014-05-21 23:05:20,2014-07-11 11:00:00,23.379,113.7633,23.379,113.7633
350,0.184922,MH726378|GDS34|Guangdong|NA|2014-07-28,2014-05-21 23:04:59,2014-07-28 11:00:00,23.379,113.7633,23.379,113.7633
351,2.207618,None,2010-01-28 02:53:15,2012-04-13 04:23:15,23.379,113.7633,23.379,113.7633
352,0.824797,KJ526123|CH/JXGA-2/2013|Jiangxi|Gaoan|2013-02-18,2012-04-22 18:10:19,2013-02-18 12:00:00,23.379,113.7633,27.0875,114.9042
353,1.213856,KP698758|GD8|Guangdong|NA|2013,2012-04-13 04:23:15,2013-06-30 23:00:00,23.379,113.7633,23.379,113.7633
354,0.558908,None,2007-05-02 11:26:14,2007-11-22 11:28:17,23.379,113.7633,23.379,113.7633
355,0.337828,None,2007-11-22 06:52:18,2008-03-24 19:44:29,23.379,113.7633,23.379,113.7633
356,0.353627,None,2008-03-25 00:21:29,2008-08-01 10:37:03,23.379,113.7633,23.379,113.7633
357,0.622173,None,2008-08-27 06:54:40,2009-04-11 17:27:20,23.379,113.7633,23.379,113.7633
358,0.324456,None,2009-03-16 06:20:53,2009-07-12 16:34:57,23.379,113.7633,23.379,113.7633
359,1.581122,None,2009-07-13 09:06:26,2011-02-10 11:44:10,23.379,113.7633,23.379,113.7633
360,3.156195,KU133261|CH-SDQH-2014|Shandong|Dezhou|2014-04-08,2011-02-10 10:43:54,2014-04-08 10:59:59,23.379,113.7633,35.894,117.9249
361,4.248992,None,2011-02-10 11:44:10,2015-05-12 08:54:21,23.379,113.7633,33.1402,119.7889
362,0.274904,None,2015-05-12 08:52:11,2015-08-20 17:01:44,33.1402,119.7889,33.1402,119.7889
363,0.057348,None,2015-08-19 04:26:16,2015-09-09 02:48:23,33.1402,119.7889,33.1402,119.7889
364,0.290019,MF038004|PED-JS-2015-12-3|Jiangsu|NA|2015-12-25,2015-09-10 15:26:00,2015-12-25 12:00:00,33.1402,119.7889,33.1402,119.7889
365,0.352992,MF038015|PED-JS-2016-01|Jiangsu|NA|2016-01,2015-09-09 02:48:23,2016-01-15 23:59:59,33.1402,119.7889,33.1402,119.7889
366,0.788031,None,2015-08-20 17:01:44,2016-06-03 18:19:44,33.1402,119.7889,33.1402,119.7889
367,0.458469,None,2016-06-03 18:20:00,2016-11-18 13:31:30,33.1402,119.7889,33.1402,119.7889
368,1.293359,None,2016-11-18 13:33:01,2018-03-05 18:13:24,33.1402,119.7889,23.379,113.7633
369,0.884221,SS-CH-GZ4-2019|CH-GZ4-2019|Guangdong|Guangzhou|2019-01-22,2018-03-05 18:13:26,2019-01-22 12:00:00,23.379,113.7633,23.379,113.7633
370,0.284784,None,2018-03-05 18:13:24,2018-06-17 16:55:53,23.379,113.7633,23.379,113.7633
371,0.46519,SS-CH-GY4-2018|CH-GY4-2018|Guizhou|Guiyang|2018-12-04,2018-06-17 16:56:08,2018-12-04 11:59:59,23.379,113.7633,26.843,107.2903
372,0.519985,SS-CH-GG4-2018|CH-GG4-2018|Guangxi|Guigang|2018-12-24,2018-06-17 16:55:53,2018-12-24 12:00:00,23.379,113.7633,23.7248,108.8076
